City,Country,Venue,CityNight,NumOpeningActs,TicketsSold,TicketsAvailable,SoldOut,Revenue,Tour
Sacramento,United States,Sleep Train Arena,1,2,12795,12795,1,1138103,The Red Tour
Portland,United States,Moda Center,1,2,13952,13952,1,1084760,The Red Tour
Tacoma,United States,Tacoma Dome,1,2,20348,20348,1,1584049,The Red Tour
Fargo,United States,Fargodome,1,2,21073,21073,1,1661578,The Red Tour
Saint Paul,United States,Xcel Energy Center,1,2,28920,28920,1,2320937,The Red Tour
Saint Paul,United States,Xcel Energy Center,2,2,28920,28920,1,2320937,The Red Tour
Greensboro,United States,Greensboro Coliseum,1,2,13650,13650,1,1109253,The Red Tour
Raleigh,United States,PNC Arena,1,2,13941,13941,1,1088612,The Red Tour
Charlottesville,United States,John Paul Jones Arena,1,2,12689,12689,1,997216,The Red Tour
Nashville,United States,Bridgestone Arena,1,2,41292,41292,1,3336545,The Red Tour
Nashville,United States,Bridgestone Arena,2,2,41292,41292,1,3336545,The Red Tour
Nashville,United States,Bridgestone Arena,3,2,41292,41292,1,3336545,The Red Tour
Auckland,New Zealand,Vector Arena,1,1,30799,30799,1,3100290,The Red Tour
Auckland,New Zealand,Vector Arena,2,1,30799,30799,1,3100290,The Red Tour
Auckland,New Zealand,Vector Arena,3,1,30799,30799,1,3100290,The Red Tour
Sydney,Australia,Allianz Stadium,1,2,40930,40930,1,4096060,The Red Tour
Brisbane,Australia,Suncorp Stadium,1,2,38907,38907,1,3895810,The Red Tour
Perth,Australia,Perth Rectangular Stadium,1,2,21827,21827,1,2364080,The Red Tour
Melbourne,Australia,Etihad Stadium,1,2,47257,47257,1,4547250,The Red Tour
London,England,The O2 Arena,1,1,74740,74740,1,5829240,The Red Tour
London,England,The O2 Arena,2,1,74740,74740,1,5829240,The Red Tour
London,England,The O2 Arena,3,1,74740,74740,1,5829240,The Red Tour
Berlin,Germany,O2 World,1,1,10350,10350,1,755006,The Red Tour
London,England,The O2 Arena,1,1,,,,,The Red Tour
London,England,The O2 Arena,2,1,,,,,The Red Tour
Shanghai,China,Mercedes-Benz Arena,1,,12793,12793,1,1864934,The Red Tour
Saitama,Japan,Saitama Super Arena,1,1,20046,20046,1,1837147,The Red Tour
Jakarta,Indonesia,MEIS Ancol,1,1,8130,8130,1,1481473,The Red Tour
Pasay,Philippines,Mall of Asia Arena,1,1,9775,9775,1,1511662,The Red Tour
Singapore,Singapore,Singapore Indoor Stadium,1,1,16344,16344,1,2524080,The Red Tour
Kuala Lumpur,Malaysia,Putra Indoor Stadium,1,1,7525,7525,1,998608,The Red Tour
Singapore,Singapore,Singapore Indoor Stadium,1,1,,,,,The Red Tour
Tokyo,Japan,Tokyo Dome,1,,100320,100320,1,10586828,The 1989 World Tour
Tokyo,Japan,Tokyo Dome,2,,100320,100320,1,10586828,The 1989 World Tour
Winchester,United States,City of Rock,1,,,,,,The 1989 World Tour
Bossier City,United States,CenturyLink Center,1,1,12459,12459,1,1458197,The 1989 World Tour
Baton Rouge,United States,LSU Tiger Stadium,1,2,50227,50227,1,4119670,The 1989 World Tour
Detroit,United States,Ford Field,1,2,50703,50703,1,5999690,The 1989 World Tour
Louisville,United States,KFC Yum! Center,1,1,16242,16242,1,1863281,The 1989 World Tour
Cleveland,United States,Quicken Loans Arena,1,1,15503,15503,1,1732041,The 1989 World Tour
Pittsburgh,United States,Heinz Field,1,2,54801,54801,1,5836926,The 1989 World Tour
Charlotte,United States,Time Warner Cable Arena,1,1,15024,15024,1,1627798,The 1989 World Tour
Raleigh,United States,PNC Arena,1,1,13886,13886,1,1653762,The 1989 World Tour
Philadelphia,United States,Lincoln Financial Field,1,2,101052,101052,1,11987816,The 1989 World Tour
Philadelphia,United States,Lincoln Financial Field,2,2,101052,101052,1,11987816,The 1989 World Tour
Cologne,Germany,Lanxess Arena,1,1,29020,29020,1,2054690,The 1989 World Tour
Cologne,Germany,Lanxess Arena,2,1,29020,29020,1,2054690,The 1989 World Tour
Amsterdam,Netherlands,Ziggo Dome,1,1,11166,11166,1,800829,The 1989 World Tour
